"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Authors API - GET /Authors","1","0","GET /Authors","0"
"0","","0","Authors API","1","0","GET /Authors","0"
"0","","0","Books API Tests","1","0","","0"
"0","","0","Books API - GET /Books/{id}","2","0","GET /Books/{id}","0"
"0","","0","Books API","2","0","GET /Books/{id}","0"
"0","","0","Books API - DELETE /Books/{id}","1","0","DELETE /Books/{id}","0"
"0","","0","Books API","1","0","DELETE /Books/{id}","0"
"0","","0","Authors API - GET /Authors/{id}","2","0","GET /Authors/{id}","0"
"0","","0","Authors API","2","0","GET /Authors/{id}","0"
"0","","0","Books API - POST /Books","1","0","POST /Books","0"
"0","","0","Books API","1","0","POST /Books","0"
"0","","0","Authors API - POST /Authors","1","0","POST /Authors","0"
"0","","0","Authors API","1","0","POST /Authors","0"
"0","","0","Authors API - PUT /Authors/{id}","1","0","PUT /Authors/{id}","0"
"0","","0","Authors API","1","0","PUT /Authors/{id}","0"
"0","","0","Authors API - DELETE /Authors/{id}","1","0","DELETE /Authors/{id}","0"
"0","","0","Authors API","1","0","DELETE /Authors/{id}","0"
"0","","0","Books API - GET /Books","1","0","GET /Books","0"
"0","","0","Books API","1","0","GET /Books","0"
"0","","0","Books API - PUT /Books/{id}","1","0","PUT /Books/{id}","0"
"0","","0","Books API","1","0","PUT /Books/{id}","0"
